Company,Symbol,Weight
Apple Inc,AAPL,7.387671
Microsoft Corp,MSFT,6.724299
Amazon.com Inc,AMZN,3.019087
Nvidia Corp,NVDA,2.575225
Alphabet Inc Cl A,GOOGL,2.03812
Alphabet Inc Cl C,GOOG,1.783118
Berkshire Hathaway Inc Cl B,BRK.B,1.68882
Tesla Inc,TSLA,1.687843
Meta Platforms Inc Class A,META,1.639605
Unitedhealth Group Inc,UNH,1.258898
Exxon Mobil Corp,XOM,1.248961
Johnson & Johnson,JNJ,1.158184
Jpmorgan Chase & Co,JPM,1.153226
Visa Inc Class a Shares,V,1.02296
Eli Lilly & Co,LLY,0.961743
Procter & Gamble Co,PG,0.95462
Broadcom Inc,AVGO,0.925655
Mastercard Inc   A,MA,0.875684
Home Depot Inc,HD,0.859284
Chevron Corp,CVX,0.794578
Merck & Co. Inc.,MRK,0.769526
Pepsico Inc,PEP,0.693192
Abbvie Inc,ABBV,0.674584
Coca Cola Co,KO,0.654982
Costco Wholesale Corp,COST,0.633905
Pfizer Inc,PFE,0.610056
Walmart Inc,WMT,0.587823
Mcdonald S Corp,MCD,0.576975
Bank of America Corp,BAC,0.574995
Salesforce Inc,CRM,0.574935
Cisco Systems Inc,CSCO,0.571489
Thermo Fisher Scientific Inc,TMO,0.57082
Accenture Plc Cl A,ACN,0.547359
Adobe Inc,ADBE,0.5352
Advanced Micro Devices,AMD,0.530908
Linde Plc,LIN,0.498546
Netflix Inc,NFLX,0.497511
Abbott Laboratories,ABT,0.495344
Comcast Corp Class A,CMCSA,0.474338
Walt Disney Co,DIS,0.472319
Oracle Corp,ORCL,0.452022
Wells Fargo & Co,WFC,0.447987
Texas Instruments Inc,TXN,0.435491
Danaher Corp,DHR,0.435054
Verizon Communications Inc,VZ,0.413839
Nextera Energy Inc,NEE,0.411884
Raytheon Technologies Corp,RTX,0.403619
Philip Morris International,PM,0.399637
Bristol Myers Squibb Co,BMY,0.387153
Nike Inc  Cl B,NKE,0.372788
Honeywell International Inc,HON,0.370424
Intel Corp,INTC,0.361628
Qualcomm Inc,QCOM,0.358824
Conocophillips,COP,0.358463
Lowe S Cos Inc,LOW,0.356912
United Parcel Service Cl B,UPS,0.349786
Union Pacific Corp,UNP,0.34446
S&p Global Inc,SPGI,0.34424
Caterpillar Inc,CAT,0.34256
Intl Business Machines Corp,IBM,0.339535
Boeing Co,BA,0.333048
Intuit Inc,INTU,0.332094
Amgen Inc,AMGN,0.33015
Prologis Inc,PLD,0.329843
General Electric Co,GE,0.322395
